Area_Axon,Area_Fiber,Centroid_X,Centroid_Y,Perimeter_Fiber,Perimeter_Axon,FiberDiameter_MinFeret,AxonDiameter_MinFeret,MyelinThickness_MinFeret,g_ratio_MinFeret,FiberDiameter_Circle,AxonDiameter_Circle,MyelinThickness_Circle,g_ratio_Circle,FiberDiameter_ShapeAdjustedEllipse,AxonDiameter_ShapeAdjustedEllipse,MyelinThickness_ShapeAdjustedEllipse,g_ratio_ShapeAdjustedEllipse
0.96,4.58,49.4,-10.1,6.48,4.4,1.28,0.7,0.29,0.546875,1.802334,1.105862,0.348236,0.613572,1.162375,0.305328,0.428523,0.262676
1.06,2.6,52.3,-10.1,8.2,5.52,1.5,0.71,0.395,0.473333,2.108521,1.162032,0.473244,0.551112,1.202484,0.256266,0.473109,0.213114
2,2.76,38.9,-10.8,11.06,7.93,1.74,0.88,0.43,0.505747,2.862007,1.596174,0.632917,0.557711,1.647228,0.668375,0.489426,0.405757
1.66,2.96,63.6,-12.9,8.31,6.05,2.08,1.24,0.42,0.596154,2.31032,1.454184,0.428068,0.629429,1.48882,0.377924,0.555448,0.253841
1.77,3.02,43.3,-12,8.91,6.55,2.05,1.45,0.3,0.707317,2.3048,1.501592,0.401604,0.651506,1.325842,0.734566,0.295638,0.554038
1.49,2.71,52.4,-12.3,7.55,4.83,1.9,0.99,0.455,0.521053,2.254507,1.377712,0.438398,0.611092,1.517772,0.464867,0.526452,0.306283
0.24,2.87,43,-14.2,3.75,1.82,1.01,0.48,0.265,0.475248,1.14547,0.552931,0.29627,0.482711,0.451413,0.214695,0.118359,0.475607
0.91,2.83,46.6,-15,6.03,3.9,1.46,0.81,0.325,0.554795,1.798796,1.076678,0.361059,0.598555,0.666398,0.342856,0.161771,0.514491
1.28,3.14,31.5,-16.4,7.14,5.77,1.4,0.98,0.21,0.7,1.851149,1.276939,0.287105,0.689809,1.06846,0.29898,0.38474,0.279823
0.03,2.77,41.1,-16.8,2.01,0.72,0.49,0.2,0.145,0.408163,0.586472,0.195491,0.195491,0.333333,0.207041,0.061027,0.073007,0.294756
2.13,5.32,45.9,-17.3,9.73,6.51,2.05,1.08,0.485,0.526829,2.780734,1.647233,0.566751,0.592373,1.883176,0.918146,0.482515,0.487552
0.85,2.31,30.5,-17.8,7.66,5.64,1.15,0.64,0.255,0.556522,1.809388,1.040578,0.384405,0.575099,0.919421,0.197454,0.360983,0.214759
1.13,2.59,59.6,-17.8,6.91,5.82,0.98,0.64,0.17,0.653061,1.623867,1.199788,0.212039,0.738846,0.819732,0.258175,0.280779,0.314951
1.3,2.93,38.8,-19.3,7.86,6.71,1.72,1,0.36,0.581395,2.126568,1.286876,0.419846,0.605142,1.310012,0.254955,0.527529,0.19462
1.19,4.05,64.2,-19.1,7.1,5.5,1.22,0.65,0.285,0.532787,1.888618,1.231228,0.328695,0.65192,1.132881,0.292359,0.420261,0.258067
1.24,1.75,31.4,-19.3,8.36,6.25,1.26,0.7,0.28,0.555556,2.015861,1.256828,0.379516,0.62347,1.052246,0.262786,0.39473,0.249738
1.32,1.94,49.8,-19.3,7.64,5.1,1.58,0.84,0.37,0.531646,2.147432,1.296738,0.425347,0.603855,1.410639,0.363887,0.523376,0.257959
0.78,0.32,41.5,-20.6,6.23,4.73,0.98,0.5,0.24,0.510204,1.616003,0.99681,0.309596,0.616837,0.466695,0.220131,0.123282,0.47168
1.62,1.7,31.2,-21.5,9.03,7.14,2.03,1.45,0.29,0.714286,2.168095,1.436556,0.365769,0.662589,1.12532,0.601264,0.262028,0.534305
1.13,3.35,55.1,-22.2,6.58,4.3,1.64,0.86,0.39,0.52439,1.9808,1.199788,0.390506,0.605709,1.307318,0.389054,0.459132,0.297597
1.54,3.5,27,-22.5,8.03,5.78,1.79,1.17,0.31,0.653631,2.141492,1.400637,0.370428,0.654047,1.289644,0.367951,0.460847,0.285312
1.21,1.11,49.4,-22.7,8.49,5.77,1.67,0.82,0.425,0.491018,2.282584,1.241532,0.520526,0.543915,1.392105,0.280993,0.555556,0.201848
1.47,2.86,53,-23,8.26,6.18,1.53,0.85,0.34,0.555556,2.138515,1.368434,0.385041,0.639899,1.231758,0.32061,0.455574,0.260287
1.27,8.3,42,-23.2,6.92,4.95,1.31,0.78,0.265,0.59542,1.91208,1.271941,0.32007,0.665213,1.219361,0.362357,0.428502,0.29717
2.06,3.63,43,-25.1,8.65,6.11,1.91,1.16,0.375,0.60733,2.500955,1.619939,0.440508,0.647728,1.732257,0.483413,0.624422,0.279065
