Area_Axon,Centroid_X,Centroid_Y,Perimeter_Axon,AxonDiameter_MinFeret,AxonDiameter_Circle,AxonDiameter_ShapeAdjustedEllipse
0.14,29.9,-58.6,1.52,0.33,0.422308,0.272261
0.15,26.4,-52.2,1.62,0.26,0.43713,0.268541
0.5,28.2,-51.2,2.92,0.56,0.798087,0.499986
0.33,28.7,-52,2.11,0.6,0.648369,0.520431
0.21,27.7,-52.5,1.69,0.43,0.517219,0.41019
0.26,28.3,-53,1.85,0.52,0.575509,0.481941
0.29,29.4,-52.1,1.98,0.55,0.607805,0.486364
0.49,29.4,-53.1,2.57,0.67,0.790066,0.634956
0.32,30.3,-52.4,2.09,0.56,0.63847,0.503519
0.75,28.9,-54,3.21,0.84,0.977453,0.763563
0.85,28.5,-54.8,3.42,0.96,1.040578,0.811064
0.21,27.6,-55.1,1.69,0.45,0.517219,0.41019
0.17,29.2,-54.7,1.56,0.39,0.465361,0.345135
0.19,35.8,-57.1,1.58,0.45,0.491974,0.413537
0.41,35.3,-56.7,2.57,0.54,0.722698,0.475346
0.25,35,-57,2.37,0.34,0.564333,0.29
0.8,40.6,-55.1,3.5,0.78,1.009509,0.696046
0.47,40.1,-53.9,3.04,0.49,0.773774,0.435072
0.51,41.4,-55,3.12,0.52,0.806028,0.462981
0.79,44.9,-54.3,3.55,0.84,1.00318,0.665493
1.7,45.3,-55.4,5.75,0.95,1.4716,0.833614
0.68,45.4,-56.2,3.82,0.47,0.930721,0.492664
0.52,47,-55.2,2.94,0.7,0.813892,0.520874
0.89,40.9,-56.9,3.59,0.94,1.064781,0.778587
1.19,41.9,-56.9,4.92,0.85,1.231228,0.675783
0.42,43.3,-56.8,2.49,0.69,0.731459,0.523742
0.36,42.7,-57.2,2.36,0.5,0.677199,0.462418
1.15,43.1,-58.3,4.09,1.17,1.210359,0.880521
1.35,42.5,-59.3,4.69,1.02,1.311391,0.853621
0.13,41.3,-57.9,1.32,0.35,0.406946,0.330284
0.09,41.6,-57.5,1.12,0.32,0.3386,0.259796
1.15,41.5,-59.1,4.38,0.86,1.210359,0.772065
1.19,43.9,-59.5,4.23,1.01,1.231228,0.864501
1.16,41.1,-60.5,4.2,1.04,1.21561,0.843845
0.96,42.3,-60.8,3.62,0.96,1.105862,0.871848
1,41.7,-62.1,3.8,0.9,1.128665,0.82796
0.71,40.7,-61.5,3.45,0.71,0.95103,0.604219
1.18,44.2,-61.9,4.08,1.01,1.226044,0.924787
0.88,43,-61.9,3.59,0.85,1.058782,0.764489
0.33,43.3,-61.3,2.37,0.56,0.648369,0.406914
0.95,42.7,-62.8,3.71,1.1,1.100087,0.803919
0.34,43.6,-62.6,2.22,0.55,0.658119,0.480849
0.51,43.1,-63.4,2.97,0.57,0.806028,0.499181
0.9,40.6,-62.8,3.81,0.81,1.070746,0.703305
0.77,36.4,-61.3,3.69,0.8,0.9904,0.602559
0.2,32,-59.2,1.77,0.37,0.504754,0.340789
0.16,31.5,-59.2,1.53,0.36,0.451466,0.326655
0.4,31.4,-59.7,2.4,0.66,0.713831,0.525465
0.36,31.8,-60.2,2.22,0.66,0.677199,0.531803
0.11,32,-59.7,1.22,0.31,0.374336,0.299355
0.29,32.9,-60.9,2,0.53,0.607805,0.472355
0.19,33.3,-61.3,1.6,0.42,0.491974,0.395821
0.5,34.9,-62.4,2.75,0.59,0.798087,0.55715
0.38,36.2,-62.3,2.28,0.61,0.695756,0.546937
0.31,37,-62.2,2.22,0.43,0.628414,0.418357
0.8,36.6,-63.3,3.78,0.71,1.009509,0.609414
0.68,37.9,-63.9,3.03,0.84,0.930721,0.746039
0.25,37.7,-64.7,1.95,0.42,0.564333,0.391914
1.32,42,-64,4.63,1.07,1.296738,0.84652
0.27,41.3,-63.6,2.1,0.4,0.586472,0.38119
1.16,41,-65,4.44,0.9,1.21561,0.7635
0.53,42.5,-65.2,2.71,0.71,0.821681,0.634424
0.45,40.3,-66.4,2.44,0.68,0.757132,0.627965
0.41,40.9,-67.1,2.41,0.62,0.722698,0.54246
0.98,41.8,-66.3,3.81,0.9,1.117322,0.796923
0.83,45.4,-65.3,3.61,0.86,1.028263,0.692157
1.37,47.2,-64.4,4.34,1.17,1.321069,1.030861
1.28,48.8,-64.5,4.51,0.87,1.276939,0.850009
0.09,48,-64.9,1.22,0.26,0.3386,0.218096
0.13,47.5,-65.2,1.42,0.34,0.406946,0.277482
0.7,46.9,-65.5,3.18,0.83,0.944309,0.692429
0.6,47.5,-66.1,2.88,0.74,0.87426,0.677168
1.02,46.1,-66.7,3.69,1.11,1.139896,0.930583
0.56,44.7,-67,2.85,0.68,0.844616,0.616541
0.93,42.5,-67.6,3.54,1,1.088445,0.875108
0.94,43.9,-67.5,3.67,0.99,1.094282,0.810002
0.67,44.8,-67.8,3.09,0.84,0.923852,0.688335
0.46,45.5,-67.4,2.54,0.61,0.765498,0.581788
0.6,46.5,-67.4,3.15,0.64,0.87426,0.561921
0.31,47.8,-67.2,2.1,0.62,0.628414,0.469346
1.3,48.1,-62.8,4.36,0.99,1.286876,0.930716
0.99,47.3,-61.8,4.01,1,1.123008,0.733052
1.31,48.9,-61.5,4.43,1.05,1.291816,0.910469
1.95,50,-62.8,5.22,1.33,1.576095,1.203231
0.62,49.8,-60.2,3.42,0.75,0.888712,0.514816
0.66,53.4,-62.9,3.5,0.7,0.916932,0.537596
0.33,53.4,-64,2.17,0.6,0.648369,0.482459
0.29,53,-64.3,2.14,0.46,0.607805,0.407155
1.09,54.7,-63,4.74,0.63,1.178361,0.640904
1.09,55.5,-61,4.33,0.78,1.178361,0.732847
1.04,55.9,-59.3,3.82,1.02,1.151017,0.874142
0.31,56.7,-60.2,2.06,0.53,0.628414,0.493574
0.11,57.1,-59.8,1.28,0.29,0.374336,0.265851
0.17,59.3,-60.7,1.63,0.33,0.465361,0.314923
0.35,60.2,-60.4,2.47,0.47,0.667727,0.411043
0.12,58.8,-59.9,1.35,0.33,0.390981,0.272164
0.6,54.5,-58.4,3.26,0.74,0.87426,0.531254
0.14,54.6,-59.7,1.45,0.4,0.422308,0.297259
1.19,51.4,-57.9,4.93,0.84,1.231228,0.673887
0.21,54.6,-59.4,2.35,0.32,0.517219,0.240836
0.85,56.7,-55.9,4.03,0.73,1.040578,0.597134
0.29,52,-55.8,2.02,0.47,0.607805,0.460158
0.65,52.7,-56.6,3.02,0.78,0.909959,0.691121
1.47,60,-54.4,4.89,1.04,1.368434,0.892021
0.44,60.6,-55.1,2.53,0.59,0.748672,0.544734
0.91,61.6,-54.4,3.91,0.77,1.076678,0.682768
0.46,62.6,-53.7,2.6,0.58,0.765498,0.550773
2.04,63.9,-53.7,5.39,1.25,1.612056,1.201867
0.65,63.1,-55.4,3.24,0.6,0.909959,0.597055
0.65,62.4,-55,3.49,0.59,0.909959,0.529739
0.63,65.1,-52.6,3.34,0.58,0.89585,0.544492
0.2,64.7,-52.3,1.82,0.33,0.504754,0.324262
0.5,59.3,-51,2.62,0.73,0.798087,0.624148
0.4,57.3,-50.9,2.61,0.49,0.713831,0.44774
0.42,58.2,-50.7,2.86,0.49,0.731459,0.41413
1.06,58.7,-50.1,3.89,1,1.162032,0.863923
0.56,59.5,-49.3,3.08,0.69,0.844616,0.53201
0.62,60.4,-50.1,3.1,0.89,0.888712,0.605615
0.69,58.6,-49,3.59,0.76,0.93754,0.547086
0.56,57.8,-49.5,2.91,0.76,0.844616,0.58974
0.59,55.2,-48.5,2.99,0.66,0.866944,0.604067
0.47,56.1,-49,2.66,0.59,0.773774,0.54276
0.75,54.5,-49.3,3.5,0.74,0.977453,0.634977
0.1,53.5,-49,1.22,0.29,0.356915,0.253711
0.07,53,-49.2,1.08,0.24,0.298617,0.191254
0.56,52.2,-49.3,2.94,0.63,0.844616,0.577916
0.65,50.1,-48.4,3.33,0.75,0.909959,0.569817
0.42,51.3,-48.7,2.88,0.46,0.731459,0.410041
0.34,52.7,-50,2.28,0.51,0.658119,0.454598
